date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:20:25	113/113	---M-Z	200	added ('OK')	text/plain	etag:%2233-1700454567;gz%22	https://goarrenovations.com/robots.txt		(from )
03:20:26	102676/102676	---MCZ	200	added ('OK')	text/html	etag:%2260-1700705545;gz%22	https://goarrenovations.com/apply-now/	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/apply-now/index.html	(from )
03:20:27	3217/3217	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Nov%202023%2002:01:18%20GMT	https://goarrenovations.com/wp-content/uploads/2023/11/goar-renocations.png	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/uploads/2023/11/goar-renocations.png	(from https://goarrenovations.com/apply-now/)
03:20:27	110035/110035	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2022:22:04%20GMT	https://goarrenovations.com/wp-includes/css/dist/block-library/style.min.css?ver=6.4.1	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-includes/css/dist/block-library/style.minaec2.css	(from https://goarrenovations.com/apply-now/)
03:20:27	2894/2894	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202023%2007:57:00%20GMT	https://goarrenovations.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.3	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/contact-form-7/includes/css/stylesc8d8.css	(from https://goarrenovations.com/apply-now/)
03:20:28	33236/33236	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Nov%202023%2015:17:34%20GMT	https://goarrenovations.com/wp-content/plugins/embedder-for-google-reviews/dist/css/google-reviews-public.css?ver=1.5.14	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/embedder-for-google-reviews/dist/css/google-reviews-publicac45.css	(from https://goarrenovations.com/apply-now/)
03:20:28	48845/48845	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2008:24:11%20GMT	https://goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/basic.min.css?ver=2.7.16	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/basic.min2539.css	(from https://goarrenovations.com/apply-now/)
03:20:28	0/0	---M--	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2008:24:11%20GMT	https://goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme-components.min.css?ver=2.7.16	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme-components.min2539.css	(from https://goarrenovations.com/apply-now/)
03:20:29	1753/1753	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2008:24:11%20GMT	https://goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme-ie11.min.css?ver=2.7.16	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme-ie11.min2539.css	(from https://goarrenovations.com/apply-now/)
03:20:29	30091/30091	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Nov%202023%2008:24:11%20GMT	https://goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme.min.css?ver=2.7.16	C:/My%20Web%20Sites/Goar%20renov/goarrenovations.com/wp-content/plugins/gravityforms/assets/css/dist/theme.min2539.css	(from https://goarrenovations.com/apply-now/)
